,Title,Link,Published
61,S&P 500 Buybacks Decline 55.4% to $88.7 Billion; Significant Reductions Expected to continue in Q3 2020,https://www.spglobal.com/spdji/en#,"Tue, 15 Sep 2020 10:30:00 EDT"
62,S&P Dow Jones Indices y B3 S.A. lanzan el S&P/B3 Brazil ESG Index,https://www.spglobal.com/spdji/en#,"Tue, 08 Sep 2020 16:00:00 EDT"
63,A S&P Dow Jones Indices e B3 S.A. lançam o Índice S&P/B3 Brasil ESG,https://www.spglobal.com/spdji/en#,"Tue, 08 Sep 2020 16:00:00 EDT"
64,S&P Dow Jones Indices Anuncia Cambios en la Composición del S&P 500,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/1214783_finalmigrasetpt-202009-spanish.pdf,"Tue, 08 Sep 2020 09:29:00 EDT"
65,S&P Dow Jones Indices Completes Its Annual Review of Adherence with IOSCO Principles for Financial Benchmarks,https://www.spglobal.com/spdji/en#,"Wed, 05 Aug 2020 16:00:00 EDT"
66,S&P/Experian Consumer Credit Default Indices Show Lower Composite Rate For Fourth Consecutive Month,https://www.spglobal.com/spdji/en#,"Tue, 21 Jul 2020 09:00:00 EDT"
67,S&P Dow Jones Indices Reports $42.5 Billion Decrease in U.S. Indicated Dividend Payments for Q2 2020,https://www.spglobal.com/spdji/en#,"Wed, 08 Jul 2020 10:00:00 EDT"
68,Annual Home Price Gains Remained Steady In April According To S&P CoreLogic Case-Shiller Index,https://www.spglobal.com/spdji/en#,"Tue, 30 Jun 2020 09:00:00 EDT"
69,S&P 500 Buybacks Return to $200 Billion Range in Q1 2020; Expectations for Q2 2020 are Low as Companies Suspend Programs,https://www.spglobal.com/spdji/en#,"Thu, 25 Jun 2020 08:30:00 EDT"
70,S&P Dow Jones Indices and the Mexican Stock Exchange Launch S&P/BMV Total Mexico ESG Index,https://www.spglobal.com/spdji/en#,"Mon, 22 Jun 2020 10:00:00 EDT"
71,S&P Dow Jones Indices y la Bolsa Mexicana de Valores lanzan el S&P/BMV Total Mexico ESG Index,https://www.spglobal.com/spdji/en#,"Mon, 22 Jun 2020 10:00:00 EDT"
72,A S&P Dow Jones Indices e a Bolsa Mexicana de Valores lançam o S&P/BMV Total Mexico ESG Index,https://www.spglobal.com/spdji/en#,"Mon, 22 Jun 2020 10:00:00 EDT"
73,資産残高に関する年次調査 （2019年12月31日時点）,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 09:30:00 EDT"
74,2019 Annual Survey of Indexed Assets,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/spdji-indexed-asset-survey-2019.pdf,"Mon, 15 Jun 2020 09:30:00 EDT"
75,Dan Draper se incorpora a S&P Dow Jones Indices como CEO,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 09:00:00 EDT"
76,Dan Draper ingressa na S&P Dow Jones Indices como CEO,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 09:00:00 EDT"
77,ダン・ドレイパー（Dan Draper）が S&P ダウ・ジョーンズ・インデックスのCEOに就任,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 00:00:00 EDT"
78,Dan Draper 獲任標普道瓊斯指數首席執行官,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 00:00:00 EDT"
79,Dan Draper 获任标普道琼斯指数首席执行官,https://www.spglobal.com/spdji/en#,"Mon, 15 Jun 2020 00:00:00 EDT"
80,DexCom & Domino's Pizza Set to Join S&P 500,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/1138567_dexdomino-202005-spanish.pdf,"Fri, 08 May 2020 13:58:00 EDT"
81,Information Regarding Negative Futures Contract Prices and Index Levels in S&P Dow Jones Indices,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/20200421-information-regarding-negative-futures-contract-prices-and-index-levels-announcement.pdf,"Tue, 21 Apr 2020 17:15:00 EDT"
82,S&P Dow Jones Indices Reports $5.5 Billion Decrease in U.S. Indicated Dividend Payments for Q1 2020; Worst Quarter since Q1 2009,https://www.spglobal.com/spdji/en#,"Thu, 09 Apr 2020 09:00:00 EDT"
83,S&P Dow Jones Indices and IHS Markit Announce Index Collaboration,https://www.spglobal.com/spdji/en#,"Wed, 08 Apr 2020 08:30:00 EDT"
84,S&P Dow Jones Indices Releases SPIVA® India Year-End 2019 Results,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/Press Release SPIVA India Year-End 2019 Final.pdf,"Tue, 07 Apr 2020 01:00:00 EDT"
85,S&P Dow Jones Indices and ASX Mark 20th Anniversary of S&P/ASX Index Series,https://www.spglobal.com/spdji/en#,"Thu, 02 Apr 2020 18:30:00 EDT"
86,Dan Draper Appointed CEO of S&P Dow Jones Indices,https://www.spglobal.com/spdji/en#,"Thu, 02 Apr 2020 17:00:00 EDT"
87,Otis Worldwide and Carrier Global Set to Join S&P 500,https://www.spglobal.com/spdji/en/documents/index-news-and-announcements-lls/1119371_1utxspinrtn15otiscarrier-202003-spanish.pdf,"Tue, 31 Mar 2020 20:09:00 EDT"
88,"S&P 500 Buybacks up 3.2% in Q4 2019; Full Year 2019 Down 9.6% From Record 2018, as Companies Brace for a More Volatile 2020",https://www.spglobal.com/spdji/en#,"Tue, 24 Mar 2020 09:00:00 EDT"
89,S&P Dow Jones Indices and the Mexican Stock Exchange to Launch a new ESG Index to Replace the S&P/BMV IPC Sustainable Index,https://www.spglobal.com/spdji/en#,"Wed, 04 Mar 2020 17:15:00 EST"
90,"S&P Dow Jones Indices y la Bolsa Mexicana de Valores, lanzarán un nuevo índice ESG para reemplazar el S&P/BMV IPC Sustentable.",https://www.spglobal.com/spdji/en#,"Wed, 04 Mar 2020 17:15:00 EST"
91,S&P ダウ・ジョーンズ・インデックス、 環境省より「ESGファイナンス・アワード」の金賞を受賞,https://www.spglobal.com/spdji/en#,"Thu, 27 Feb 2020 00:03:00 EST"
92,Japan’s Ministry of Environment Awards S&P Dow Jones Indices Gold Prize for ESG Finance Award,https://www.spglobal.com/spdji/en#,"Thu, 27 Feb 2020 00:02:00 EST"
93,S&P Dow Jones Indices and ASX Jointly Launch S&P/ASX All Technology Index to Capture Australia's Growing Technology Sector,https://www.spglobal.com/spdji/en#,"Thu, 20 Feb 2020 17:45:00 EST"
94,S&P Dow Jones Indices to Calculate Four New Custom Indices for Ágora Investimentos in Brazil,https://www.spglobal.com/spdji/en#,"Wed, 05 Feb 2020 11:00:00 EST"
95,S&P Dow Jones Indices asumirá el cálculo de cuatro nuevos índices personalizados de Ágora Investimentos en Brasil,https://www.spglobal.com/spdji/en#,"Wed, 05 Feb 2020 11:00:00 EST"
96,S&P ダウ・ジョーンズ・インデックス 「東京金融賞」の「ESG投資部門」を受賞,https://www.spglobal.com/spdji/en#,"Mon, 03 Feb 2020 20:00:00 EST"
97,S&P Dow Jones Indices Wins Prestigious Tokyo Financial Award for ESG Index Innovation,https://www.spglobal.com/spdji/en#,"Mon, 03 Feb 2020 20:00:00 EST"
98,S&P Dow Jones Indices Reports $10.6 Billion Increase in U.S. Dividend Payments for Q4 2019 and $45.4 billion for 2019,https://www.spglobal.com/spdji/en#,"Tue, 07 Jan 2020 10:00:00 EST"
99,S&P 500 Buybacks Reverse Declines in Q3 2019; Expenditures Remain Lower than 2018 Levels,https://www.spglobal.com/spdji/en#,"Tue, 17 Dec 2019 12:00:00 EST"
